firstName,lastName,email,password,role,phoneNumber,address,birthday(year),birthday(month),birthday(day),enabled,salutation,profilePicture
ADMIN,ADMIN,ADMIN,ADMIN,ADMIN,ADMIN,ADMIN,1,1,1,TRUE,MR,
Wyatt,Tan,WyattTan@gmail.co,71257,ADMIN,94363288,"Blk 42 Lorong 11 Thomson, #02-35",1985,10,4,TRUE,MR,
Jasper,Ramaswamy,JasperRamaswamy@gmail.co,36849,ADMIN,96646277,18 Lim Chu Kang Avenue North,1982,1,5,TRUE,MR,
Rowan,Vijiaratnam,RowanVijiaratnam@gmail.co,82535,STUDENT,97579440,37 Fidelio Avenue,1982,11,28,TRUE,MR,
Chen,Jie Hao Reuben,ChenJieHaoReuben@gmail.co,99828,STUDENT,98674088,9 Pasir Ris Terrace,1981,2,23,TRUE,MR,
Terry,To,TerryTo@gmail.co,90960,STUDENT,81654743,"2 Chong Pang Court, #08-21",1990,10,3,TRUE,MR,
Neil,Toy,NeilToy@gmail.co,29317,STUDENT,94686403,"Blk 150 Geylang Street 15, #10-09",1989,9,19,TRUE,MR,
Timothy,Poon Xin Jaime,TimothyPoonXinJaime@gmail.co,22016,STUDENT,84271746,2 Gek Poh Ville Garden,1980,3,7,TRUE,MR,
Nelson,Jeyaretnam,NelsonJeyaretnam@gmail.co,75564,STUDENT,91609870,1 Jalan Peminpin,1980,11,6,TRUE,MR,
Stuart,Phua,StuartPhua@gmail.co,70488,STUDENT,98645175,8 Jalan Binchang,1991,2,1,TRUE,MR,
Willard,Yeo,WillardYeo@gmail.co,64148,STUDENT,98558059,4 Jalan Besar,1992,12,16,TRUE,MR,
Chris,Han,ChrisHan@gmail.co,27357,STUDENT,95752732,31 Ang Mo Kio Court,1981,6,28,TRUE,MR,
Mathew,Lee,MathewLee@gmail.co,51461,STUDENT,83486614,"Blk 105 Woodlands Street 23, #06-19",1992,2,14,TRUE,MR,
Low,Jiahao Xavier,LowJiahaoXavier@gmail.co,17645,STUDENT,93483636,"Blk 36 Tampines Street 21, #08-34",1987,1,25,TRUE,MR,
Ashraff,Firdaus,AshraffFirdaus@gmail.co,93398,STUDENT,91493695,"Blk 122 Boon Lay Street 20, #10-29",1988,7,14,TRUE,MR,
Hoon,Wee Leong Stefan,HoonWeeLeongStefan@gmail.co,13214,STUDENT,86254365,"7 Geylang East Garden, #02-22",1985,12,27,TRUE,MR,
Dexter,Chan,DexterChan@gmail.co,68364,STUDENT,91175560,4 Jalan Limau Purut,1982,12,24,TRUE,MR,
Jonathan,Chye,JonathanChye@gmail.co,83371,STUDENT,98256892,52 Tampines Heights,1992,12,8,TRUE,MR,
Dave,Li,DaveLi@gmail.co,13134,STUDENT,83932666,46 Cheng San Junction,1983,1,14,TRUE,MR,
Sean,Menon,SeanMenon@gmail.co,39717,STUDENT,92675651,"Blk 48 Boon Lay Street 70, #12-01",1982,10,13,TRUE,MR,
Will,Chang,WillChang@gmail.co,28707,STUDENT,97323224,"42 Boon Lay Circle, #05-32",1985,5,11,TRUE,MR,
Ahmed,Salim,AhmedSalim@gmail.co,68600,STUDENT,82805548,39 Jalan Gapis,1992,10,30,TRUE,MR,
Marc,Sun,MarcSun@gmail.co,41575,STUDENT,92221848,85 Jalan Awan,1991,5,9,TRUE,MR,
Philip,Peck Ming,PhilipPeckMing@gmail.co,46194,STUDENT,91666738,"Blk 416 Boon Lay Street 11, #13-01",1985,5,16,TRUE,MR,
Brandon,Yu,BrandonYu@gmail.co,40068,STUDENT,83694442,"Blk 160 Lorong 1 Bukit Gombak, #18-16",1992,6,13,TRUE,MR,
Otis,Lieu,OtisLieu@gmail.co,96793,STUDENT,99233872,"Blk 16 Hougang Street 15, #13-28",1992,3,4,TRUE,MR,
Colby,Yu,ColbyYu@gmail.co,77359,STUDENT,98428181,"Blk 37 Kallang Street 76, #05-19",1981,2,23,TRUE,MR,
Jovan,Thompson,JovanThompson@gmail.co,99444,STUDENT,86331693,74 Novena Road,1991,3,16,TRUE,MR,
Charles,Teh,CharlesTeh@gmail.co,50790,STUDENT,87895536,"Blk 12 Tampines Street 16, #11-11",1986,11,27,TRUE,MR,
Rowan,Tan,RowanTan@gmail.co,14047,STUDENT,88587730,"Blk 24 Boon Lay Street 87, #10-01",1988,6,30,TRUE,MR,
Hans,Tan,HansTan@gmail.co,41626,STUDENT,96818160,4 Orchard Road Field,1985,9,30,TRUE,MR,
Garth,Ee,GarthEe@gmail.co,35131,STUDENT,91512459,88 Boon Keng Crescent,1983,9,7,TRUE,MR,
